station_name,location
Vesey Pl & River Terrace,"(40.719274633333335, -74.04311011666667)"
Greene St & Prince St,"(40.719274633333335, -74.04311011666667)"
S 4 St & Roebling St,"(40.719274633333335, -74.04311011666667)"
Market St & Cherry St,"(40.719274633333335, -74.04311011666667)"
Division St & Bowery,"(40.719274633333335, -74.04311011666667)"
Catherine St & Monroe St,"(40.719274633333335, -74.04311011666667)"
Broadway & W 41 St,"(40.719274633333335, -74.04311011666667)"
W 171 St & St. Nicholas Ave,"(40.758944983333336, -74.0153526)"
Broadway & W 168 St,"(40.758944983333336, -74.0153526)"
Broadway & W 58 St,"(40.758944983333336, -74.0153526)"
E 9 St & Avenue C,"(40.758944983333336, -74.0153526)"
W 89 St & Columbus Ave,"(40.73771905, -74.06712138333333)"
Madison Ave & E 99 St,"(40.73771905, -74.06712138333333)"
2 Ave & E 72 St,"(40.73771905, -74.06712138333333)"
E 43 St & Madison Ave,"(40.73771905, -74.06712138333333)"
E 84 St & 1 Ave,"(40.73771905, -74.06712138333333)"
E 88 St & 1 Ave,"(40.73771905, -74.06712138333333)"
E 82 St & East End Ave,"(40.73771905, -74.06712138333333)"
E 85 St & 3 Ave,"(40.73771905, -74.06712138333333)"
E 97 St & 3 Ave,"(40.73771905, -74.06712138333333)"
Murray St & West St,"(40.71433115, -74.03313255)"
Greenwich St & Perry St,"(40.71433115, -74.03313255)"
Cliff St & Fulton St,"(40.71433115, -74.03313255)"
E 13 St & 2 Ave,"(40.71433115, -74.03313255)"
St Marks Pl & 1 Ave,"(40.71433115, -74.03313255)"
Avenue D & E 3 St,"(40.71433115, -74.03313255)"
6 Ave & Canal St,"(40.71433115, -74.03313255)"
Tompkins Ave & Hopkins St,"(40.71433115, -74.03313255)"
Lewis Ave & Kosciuszko St,"(40.71433115, -74.03313255)"
Madison Av & E 51 St,"(40.71433115, -74.03313255)"
8 Ave & W 33 St,"(40.76159938333333, -74.03773895)"
W 63 St & Broadway,"(40.761369316666666, -74.0362417)"
W 64 St & Thelonious Monk Circle,"(40.76129006666667, -74.0161544)"
Walker St & Baxter St,"(40.7310711, -74.06444608333334)"
Warren St & W Broadway,"(40.7310711, -74.06444608333334)"
W 34 St & 11 Ave,"(40.7310711, -74.06444608333334)"
Greenwich St & Hubert St,"(40.7310711, -74.06444608333334)"
Christopher St & Greenwich St,"(40.7310711, -74.06444608333334)"
E 72 St & York Ave,"(40.738623833333335, -74.02162763333334)"
6 Ave & W 34 St,"(40.71599065, -74.06153856666667)"
W 20 St & 8 Ave,"(40.726639867, -74.029737234)"
W 51 St & Rockefeller Plaza,"(40.73700185, -74.03042316666667)"
West St & Liberty St,"(40.73767578333333, -74.05254506666667)"
E 16 St & 5 Ave,"(40.73767578333333, -74.05254506666667)"
Spring St & Hudson St,"(40.730664966666666, -74.04631458333333)"
West Thames St,"(40.730664966666666, -74.04631458333333)"
Watts St & Greenwich St,"(40.730664966666666, -74.04631458333333)"
W 52 St & 11 Ave,"(40.752960630464955, -74.02435272932053)"
N 5 St & Wythe Ave,"(40.735759433333335, -74.05280078333334)"
Broadway & Kent Ave,"(40.735759433333335, -74.05280078333334)"
Broadway & Madison St,"(40.735759433333335, -74.05280078333334)"
Greene Ave & Throop Ave,"(40.735759433333335, -74.05280078333334)"
50 St & Northern Blvd,"(40.76257705, -74.05248243333334)"
77 St & 31 Ave,"(40.76624163333334, -74.0556218)"
7 Ave & W 55 St,"(40.7652956, -74.01260011666666)"
W 67 St & Broadway,"(40.7652956, -74.01260011666666)"
W 84 St & Columbus Ave,"(40.7652956, -74.01260011666666)"
W 92 St & Broadway,"(40.7652956, -74.01260011666666)"
River St & 1 St,"(40.737364531, -74.028816581)"
Broadway & E 21 St,"(40.72590246666667, -74.03865113333333)"
9 Ave & W 22 St,"(40.69967915, -74.0334966)"
8 Ave & W 31 St,"(40.77564173333333, -74.06030326666666)"
Stagg St & Union Ave,"(40.77737846666667, -74.06476461666666)"
Graham Ave & Grand St,"(40.77737846666667, -74.06476461666666)"
E 47 St & 1 Ave,"(40.7632512, -74.05501823333333)"
W 55 St & 6 Ave,"(40.7322901, -74.03300593333333)"
Centre St & Chambers St,"(40.695319057, -74.033257246)"
W 18 St & 6 Ave,"(40.781792716666665, -74.0140628)"
E 39 St & Lexington Ave,"(40.75846625, -74.049036)"
W 70 St & Amsterdam Ave,"(40.78903018333333, -73.99793313333333)"
West End Ave & W 60 St,"(40.78903018333333, -73.99793313333333)"
Washington St & Barrow St,"(40.78903018333333, -73.99793313333333)"
Sands St Gate,"(40.78903018333333, -73.99793313333333)"
E 91 St & 2 Ave,"(40.78903018333333, -73.99793313333333)"
Central Park S & 6 Ave,"(40.78903018333333, -73.99793313333333)"
Jerome Ave & E Mosholu Parkway S,"(40.7350155, -74.02758883333334)"
E 89 St & York Ave,"(40.7350155, -74.02758883333334)"
E 74 St & 1 Ave,"(40.7350155, -74.02758883333334)"
E 48 St & 3 Ave,"(40.7350155, -74.02758883333334)"
Broadway & W 29 St,"(40.7350155, -74.02758883333334)"
1 Ave & E 30 St,"(40.7350155, -74.02758883333334)"
Lexington Ave & E 29 St,"(40.70548705, -74.04849713333333)"
Adams St & 12 St,"(40.751784682, -74.033289194)"
Morningside Ave & W 123 St,"(40.8066187, -74.00907335)"
4 St & River St,"(40.740831733, -74.027396441)"
S 3 St & Bedford Ave,"(40.725912083333334, -74.03550766666666)"
E 68 St & 3 Ave,"(40.725912083333334, -74.03550766666666)"
E 47 St & Park Ave,"(40.725912083333334, -74.03550766666666)"
8 Ave & W 24 St,"(40.725912083333334, -74.03550766666666)"
E 22 St & 2 Ave,"(40.725912083333334, -74.03550766666666)"
Greenwich St & Rector St,"(40.704525709, -74.026640654)"
William St & Pine St,"(40.73626731666667, -74.02900373333334)"
E 48 St & 5 Ave,"(40.773169933333335, -74.03184376666667)"
Broadway & Morris St,"(40.73626731666667, -74.02900373333334)"
Centre St & Worth St,"(40.73626731666667, -74.02900373333334)"
Brooklyn Bridge Park - Pier 2,"(40.73626731666667, -74.02900373333334)"
Fulton St & Adams St,"(40.73626731666667, -74.02900373333334)"
Pioneer St & Richards St,"(40.73626731666667, -74.02900373333334)"
6 Ave & W 33 St,"(40.73626731666667, -74.02900373333334)"
Bergen St & Kingston Ave,"(40.73626731666667, -74.02900373333334)"
Lefferts Ave & Schenectady Ave,"(40.73626731666667, -74.02900373333334)"
Atlantic Ave & Furman St,"(40.69187865, -74.05319178333333)"
Amsterdam Ave & W 73 St,"(40.74491796666667, -74.02528685)"
E 41 St & Madison Ave (SE corner),"(40.791188033333334, -73.99886101666667)"
81 St & 35 Ave,"(40.736136783333336, -74.02936768333333)"
3 Ave & E 71 St,"(40.736136783333336, -74.02936768333333)"
Central Park W & W 91 St,"(40.736136783333336, -74.02936768333333)"
E 95 St & 3 Ave,"(40.736136783333336, -74.02936768333333)"
Adam Clayton Powell Blvd & W 123 St,"(40.736136783333336, -74.02936768333333)"
St Ann's Ave & Bruckner Blvd,"(40.736136783333336, -74.02936768333333)"
E 167 St & Bryant Ave,"(40.736136783333336, -74.02936768333333)"
Fulton Ave & E 168 St,"(40.736136783333336, -74.02936768333333)"
Freeman St & Southern Blvd,"(40.736136783333336, -74.02936768333333)"
Prospect Ave & E 167 St,"(40.736136783333336, -74.02936768333333)"
Broadway & W 36 St,"(40.75607193333333, -74.02587686666666)"
11 Ave & W 27 St,"(40.735011766666666, -74.01998035)"
Amsterdam Ave & W 82 St,"(40.779177266666665, -74.00336778333333)"
North Moore St & Greenwich St,"(40.73144713333333, -74.02434595)"
6 Ave & Broome St,"(40.73144713333333, -74.02434595)"
Greene Ave & Nostrand Ave,"(40.75269876666667, -74.023692)"
53 St & Roosevelt Ave,"(40.7310357, -74.06464921666667)"
39 Dr & 52 St,"(40.7310357, -74.06464921666667)"
46 St & Queens Blvd,"(40.7310357, -74.06464921666667)"
23 St & 31 Ave,"(40.7310357, -74.06464921666667)"
31 Ave & Crescent St,"(40.7310357, -74.06464921666667)"
Crescent St & Broadway,"(40.7310357, -74.06464921666667)"
Crescent St & 35 Ave,"(40.7310357, -74.06464921666667)"
W 82 St & Central Park West,"(40.71460973333333, -74.06747018333333)"
W 13 St & 5 Ave,"(40.7571466, -74.03120851666667)"
